f1,f2,f3,f4,f5,f6,f7,f8,m_or_b
3,6,18,3,8,7,10,54,0
2,2,7,2,1,1,3,4,0
3,2,21,2,3,2,2,11,0
6,7,2,2,7,6,4,25,0
10,15,13,3,10,9,9,9,0
1,5,6,3,9,8,10,13,0
2,4,2,2,7,6,7,28,0
2,7,4,2,8,7,8,8,0
2,4,9,2,11,10,8,29,0
1,2,2,2,2,2,1,19,0
3,6,10,2,4,4,2,3,0
6,8,32,2,10,9,5,18,0
4,3,1,2,9,9,7,0,0
1,0,2,2,0,0,1,0,0
2,4,6,2,10,9,7,28,0
1,1,3,0,1,1,2,9,0
1,2,15,3,3,2,3,8,0
4,7,5,2,10,9,6,43,0
1,1,4,2,3,2,2,15,0
6,6,10,2,4,3,2,4,0
1,0,1,2,0,0,0,0,0
5,17,6,2,8,7,8,13,0
3,3,2,4,3,2,2,11,0
1,0,1,2,0,0,0,0,0
3,5,1,2,5,4,4,20,0
5,7,1,2,5,4,5,8,0
1,1,2,2,6,5,4,28,0
3,4,11,2,6,5,4,12,0
2,2,1,2,3,2,3,10,0
1,1,1,2,1,1,0,8,0
1,1,1,2,1,1,0,4,0
1,0,1,2,1,0,1,3,0
0,8,4,2,5,4,3,41,0
3,0,7,3,3,2,1,2,0
4,2,6,2,3,3,3,7,0
4,5,3,2,5,4,2,0,0
1,1,1,2,1,1,0,6,0
1,0,3,8,1,0,3,0,0
1,0,1,2,1,1,0,2,0
7,29,23,6,12,11,6,0,1
1,2,3,2,4,3,2,16,0
2,0,1,2,0,0,0,0,0
1,9,2,2,3,3,4,4,0
2,2,1,2,2,2,1,5,0
3,4,4,3,5,4,5,11,0
1,1,3,2,2,2,1,0,0
1,2,1,2,2,2,4,20,0
6,9,24,2,6,5,6,2,0
5,4,1,2,5,4,2,14,0
2,2,16,3,4,3,4,11,0
2,8,11,7,7,6,6,13,0
2,2,3,2,5,4,5,20,0
6,34,20,100,15,14,9,18,0
1,9,15,3,10,9,6,29,0
3,2,2,0,3,2,2,11,0
1,3,2,3,4,3,2,19,0
3,2,3,2,5,4,4,6,0
1,4,1,2,5,4,2,11,0
2,1,9,3,1,1,1,0,0
1,7,3,2,6,5,5,26,0
1,0,1,3,0,0,0,0,0
2,5,2,3,8,7,7,23,0
1,2,5,2,4,3,3,20,0
1,2,2,6,3,3,3,4,0
2,1,1,2,13,12,8,40,0
1,1,1,2,1,1,1,6,0
5,6,1,2,4,3,3,8,0
6,8,7,3,14,13,16,172,0
8,12,23,9,9,8,10,129,0
1,2,1,2,1,1,0,2,0
1,6,3,2,12,11,6,17,0
5,8,1,2,9,9,7,0,0
1,0,0,1,0,0,0,0,0
4,8,3,4,9,8,5,11,0
1,1,3,2,3,2,4,11,0
6,10,37,5,7,6,7,63,0
3,2,1,2,3,2,2,11,0
1,3,6,2,4,3,1,0,0
2,2,1,3,4,3,5,45,0
4,6,4,2,11,10,6,25,0
6,9,15,8,9,8,8,44,0
3,5,11,2,7,6,8,26,0
1,0,2,2,1,0,1,0,0
1,3,4,5,4,3,2,0,0
2,1,1,2,1,1,0,3,0
1,1,1,2,1,1,0,2,0
3,6,4,3,6,5,7,6,0
1,2,26,28,3,2,3,591,0
2,2,14,2,7,6,5,15,0
1,3,1,2,6,5,2,9,0
1,2,6,2,3,3,2,0,0
8,17,13,3,9,8,8,21,0
5,5,3,3,4,4,3,3,0
3,5,13,3,10,9,9,9,0
1,1,1,2,2,2,1,0,0
9,16,27,7,9,8,10,52,0
3,5,3,2,8,7,6,26,0
2,4,1,2,1,1,3,0,0
2,7,5,2,6,5,4,4,0
2,5,4,2,5,4,5,8,0
1,1,1,1,0,0,1,0,0
3,3,2,2,2,1,2,16,0
4,5,4,2,6,5,5,22,0
3,11,2,3,8,7,1,9,0
4,6,2,7,4,4,2,2,0
2,3,1,2,9,9,7,0,0
2,0,1,2,0,0,1,0,0
4,6,2,5,6,6,3,0,0
2,2,1,2,3,2,4,8,0
2,3,3,2,4,3,3,20,0
4,3,7,2,4,3,1,3,0
3,6,6,3,8,7,8,36,0
4,3,1,2,5,4,1,9,0
1,2,4,2,3,2,4,10,0
2,1,2,2,0,0,0,0,0
1,4,6,4,4,3,4,18,0
1,5,2,2,10,9,7,42,0
1,3,22,3,3,2,3,17,0
2,2,4,2,3,2,8,23,0
1,7,4,3,6,5,2,3,0
1,4,3,2,6,5,4,22,0
1,1,2,2,1,1,0,6,0
2,1,22,5,3,2,5,51,0
1,7,8,6,5,4,7,50,0
1,13,28,7,9,8,5,34,0
1,0,0,0,0,0,0,0,0
4,12,1,2,6,6,9,23,0
4,4,13,2,3,2,3,35,0
3,7,10,4,7,6,9,24,0
1,1,8,1,3,2,2,11,0
2,0,1,2,0,0,0,2,0
